system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
0,0.03735912337310698,0.17598195398594754,0.08215515572447254,0.03562030337621056,0.05160464518063208,0.034689335352760954,0.08626559919901404,0.21990931497770466,0.2686897708308971,0.27435831939020316,0.302814214825767,0.2938825558497856,221.595596,-0.2029430818662679,1,98.90576,0.4905250892916379,-0.5512835,-0.23341823,0.7867099,14.545338,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0427168657602398,0.22562019818252202,0.10711917114368255,0.04115284608523394,0.06046067014807223,0.03983110358985411,0.0974779760993801,0.2519302047395177,0.32084368884152675,0.33078001680201646,0.357535607814647,0.34970075931939126,131.099472,-0.16707111764002894,1,251.27194,0.5750097746327244,-0.5855372,-0.18660113,0.78420156,28.428852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.035643319777410844,0.1881974535436265,0.0881081630240717,0.03387902730314104,0.05141354977663862,0.03343630156948327,0.08710335731630577,0.2166048115836634,0.265347096311328,0.2708918339558603,0.2971998871089644,0.2929320293332974,219.102448,-0.1901432765783412,1,109.20414,0.48701804221851985,-0.5832278,-0.2120261,0.7670798,14.322991,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.022646639908403467,0.12557747556123286,0.05391677474682848,0.02598174657336185,0.04079424931255109,0.023234714380307494,0.06963895680311853,0.20803091868137508,0.26230882216624946,0.26876568661433464,0.28807151319756974,0.28924178379115484,275.95041754712736,-0.30664124673410303,1,491.09592,0.49828433660460736,-0.5075755,-0.34596884,0.83930844,17.741358,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.02775099761178272,0.16481463388173406,0.07482469037703228,0.02751298087495145,0.0428814073261309,0.026703259467562006,0.07270687032837482,0.20524221139774956,0.2521782048115258,0.26438449412642356,0.28201043646766705,0.27819472202339657,128.231293,-0.2155159198139477,1,297.5309,0.4785803627391455,-0.5727617,-0.24504113,0.81645274,18.908468,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.033665666232441716,0.19592408944225434,0.11104734440120793,0.03420504148338149,0.049257777825278265,0.04492366187337195,0.0874231210792842,0.17687800380211252,0.21173333160002408,0.2213659615876688,0.24463319183114612,0.24992032100399128,96.36667781375773,-0.0322530966938072,1,324.4927,0.3558806687915416,-0.6007209,-0.052592672,0.6679678,21.62505,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.027818867170699403,0.1533162021940052,0.07094283435865904,0.029030991178345775,0.0459821565816815,0.027432479233442775,0.07697766257614112,0.19879443573545527,0.245066840890968,0.254526938587355,0.2731949586213336,0.27812395852427607,86.65946311884694,-0.2214011601969547,1,318.21414,0.4630593138944944,-0.54916924,-0.25073263,0.8073697,17.844816,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.026636163569278355,0.1214987101794164,0.05222362489761596,0.02857977258941444,0.04399714679943881,0.02350140142117148,0.07557219206535255,0.18537203230527458,0.21552108702601883,0.2209120431382793,0.2347342157839248,0.23836063778050431,270.210205,-0.25504461333100886,1,1318.4723,0.4244582681516828,-0.4682955,-0.28140238,0.81163555,25.472649,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.04366250692261282,0.20163901700825107,0.09565659130818337,0.03994146241544705,0.05753766755283667,0.04412417134888889,0.10016706213255092,0.22648160263726197,0.27525086474833904,0.2826760131150903,0.309260417297938,0.30490718018872465,200.97625823597383,-0.17416323848256507,1,274.3528,0.47774361289184714,-0.56226724,-0.20688134,0.735651,16.109718,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.033412214783715484,0.1371415184971977,0.06137096569643114,0.03496566701966261,0.05298342562376085,0.029296002430319858,0.08437126027671599,0.20408804997246957,0.238482466850324,0.2436736147144127,0.2603629378346476,0.26399520122849396,192.376114,-0.240734110893204,1,1076.9569,0.45977345300719863,-0.45992473,-0.2701727,0.7883071,33.54319,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.03708103951058284,0.1807003356715016,0.08552609473600892,0.037727813725827036,0.05372491785452814,0.034501484872002185,0.08882565884612051,0.23330909711992334,0.2840932615365996,0.2890327906444435,0.315036912992452,0.32027094183470284,115.22280671455067,-0.2150839727221905,1,513.82214,0.5161021513796168,-0.5387108,-0.24414077,0.7961771,9.779377,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0399307739490669,0.1958875383039926,0.09165389472439578,0.03909459935455189,0.05514625363303595,0.0368346959308419,0.09022026886138124,0.20593474083909283,0.24636652518115434,0.24969736875233461,0.27684861352450374,0.2749592668804857,61.415272,-0.15725960004512907,1,202.35443,0.44857804458166645,-0.56706405,-0.17439523,0.7571271,17.921103,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.04439059816472787,0.22788874728449543,0.11430813748394394,0.040715451848602924,0.05905327022643524,0.04164467542491276,0.09623450199328108,0.23506976087885015,0.2814115324008701,0.2861482157667825,0.31555954857667906,0.3099481903430071,158.9542812290006,-0.13571273971584,1,92.45029,0.5135968888318755,-0.5925272,-0.14632493,0.74986714,19.628944,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.03597361068645849,0.17348033698943374,0.0803857897429281,0.0339817363596467,0.04778917183104011,0.038766748729384466,0.08720351134446751,0.19079688042247298,0.22957255441492352,0.2395409997977359,0.2612247352491981,0.2630424494025833,311.8768748957721,-0.18403502855729575,1,526.0946,0.41098169641364635,-0.5725951,-0.2213604,0.74516636,25.719791,"{""type"":""MultiPoint"",""coordinates"":[]}"
